MONTH1,YEAR1,location,mean
1,2012,W1,0.367285653
1,2012,W10,0.583592372
1,2012,W2,0.376610067
1,2012,W3,0.519146253
1,2012,W4,0.384671365
1,2012,W5,0.47725703
1,2012,W6,0.489858511
1,2012,W7,0.363118606
1,2012,W8,0.354102122
1,2012,W9,0.366078352
1,2013,W1,0.231220692
1,2013,W10,0.537068105
1,2013,W2,0.378218895
1,2013,W3,0.452975382
1,2013,W4,0.280400524
1,2013,W5,0.367178541
1,2013,W6,0.3839188
1,2013,W7,0.223598502
1,2013,W8,0.245118952
1,2013,W9,0.226093019
2,2012,W1,0.237392033
2,2012,W10,0.467970993
2,2012,W2,0.28322292
2,2012,W3,0.361778902
2,2012,W4,0.23809427
2,2012,W5,0.326526538
2,2012,W6,0.330957041
2,2012,W7,0.25536202
2,2012,W8,0.251496747
2,2012,W9,0.252548229
2,2013,W1,0.266623434
2,2013,W10,0.432900677
2,2013,W2,0.276275645
2,2013,W3,0.380300144
2,2013,W4,0.223615954
2,2013,W5,0.298092886
2,2013,W6,0.287217962
2,2013,W7,0.297718901
2,2013,W8,0.310528887
2,2013,W9,0.232292011
3,2012,W1,0.275475357
3,2012,W10,0.408435106
3,2012,W2,0.262679979
3,2012,W3,0.408606369
3,2012,W4,0.324093087
3,2012,W5,0.391920418
3,2012,W6,0.406180855
3,2012,W7,0.291322661
3,2012,W8,0.270233723
3,2012,W9,0.248117168
3,2013,W1,0.277109281
3,2013,W10,0.383727426
3,2013,W2,0.272611143
3,2013,W3,0.351287259
3,2013,W4,0.353042995
3,2013,W5,0.443251269
3,2013,W6,0.425699638
3,2013,W7,0.295596433
3,2013,W8,0.313863837
3,2013,W9,0.2583044
4,2012,W1,0.256116275
4,2012,W10,0.340417556
4,2012,W2,0.244757121
4,2012,W3,0.27295665
4,2012,W4,0.242612019
4,2012,W5,0.301339259
4,2012,W6,0.302146827
4,2012,W7,0.234480378
4,2012,W8,0.198631344
4,2012,W9,0.182390597
4,2013,W1,0.20033514
4,2013,W10,0.364255804
4,2013,W2,0.205645915
4,2013,W3,0.292755789
4,2013,W4,0.22943678
4,2013,W5,0.301987942
4,2013,W6,0.330346068
4,2013,W7,0.221833839
4,2013,W8,0.238548307
4,2013,W9,0.237988507
5,2012,W1,0.25024026
5,2012,W10,0.390965841
5,2012,W2,0.270385436
5,2012,W3,0.380628868
5,2012,W4,0.325054528
5,2012,W5,0.401357119
5,2012,W6,0.407096163
5,2012,W7,0.254844566
5,2012,W8,0.237595495
5,2012,W9,0.222652478
5,2013,W1,0.272891897
5,2013,W10,0.486369279
5,2013,W2,0.359723516
5,2013,W3,0.386078727
5,2013,W4,0.401459868
5,2013,W5,0.490168037
5,2013,W6,0.479547414
5,2013,W7,0.285501564
5,2013,W8,0.236471536
5,2013,W9,0.289434951
6,2012,W1,0.340004709
6,2012,W10,0.494918482
6,2012,W2,0.401854475
6,2012,W3,0.413893802
6,2012,W4,0.444640425
6,2012,W5,0.527676115
6,2012,W6,0.566984922
6,2012,W7,0.315495869
6,2012,W8,0.333218292
6,2012,W9,0.325785827
6,2013,W1,0.218028251
6,2013,W10,0.327685177
6,2013,W2,0.271770814
6,2013,W3,0.330798039
6,2013,W4,0.250770365
6,2013,W5,0.311295225
6,2013,W6,0.308928372
6,2013,W7,0.242977938
6,2013,W8,0.252993847
6,2013,W9,0.216157521
7,2012,W1,0.24944552
7,2012,W10,0.361810496
7,2012,W2,0.231740946
7,2012,W3,0.373498981
7,2012,W4,0.356885608
7,2012,W5,0.442934048
7,2012,W6,0.468593503
7,2012,W7,0.249022703
7,2012,W8,0.272215545
7,2012,W9,0.246191091
7,2013,W1,0.351121767
7,2013,W10,0.44713055
7,2013,W2,0.427743036
7,2013,W3,0.388682392
7,2013,W4,0.463836749
7,2013,W5,0.560269704
7,2013,W6,0.533679157
7,2013,W7,0.331065635
7,2013,W8,0.338715385
7,2013,W9,0.363089986
8,2012,W1,0.432788558
8,2012,W10,0.502317342
8,2012,W2,0.342185552
8,2012,W3,0.531132004
8,2012,W4,0.50061782
8,2012,W5,0.543625751
8,2012,W6,0.569485561
8,2012,W7,0.40123354
8,2012,W8,0.409632859
8,2012,W9,0.433179522
8,2013,W1,0.532769329
8,2013,W10,0.535224118
8,2013,W2,0.413749723
8,2013,W3,0.525719835
8,2013,W4,0.553001623
8,2013,W5,0.597789209
8,2013,W6,0.596496909
8,2013,W7,0.538306845
8,2013,W8,0.554591765
8,2013,W9,0.530882897
9,2012,W1,0.377877388
9,2012,W10,0.464039693
9,2012,W2,0.33759112
9,2012,W3,0.427723726
9,2012,W4,0.456074551
9,2012,W5,0.509029747
9,2012,W6,0.501011999
9,2012,W7,0.346227732
9,2012,W8,0.351803484
9,2012,W9,0.370521539
9,2013,W1,0.380059393
9,2013,W10,0.493249601
9,2013,W2,0.388046714
9,2013,W3,0.424418014
9,2013,W4,0.4487146
9,2013,W5,0.523988037
9,2013,W6,0.513667149
9,2013,W7,0.38547555
9,2013,W8,0.341964897
9,2013,W9,0.385550279
10,2012,W1,0.266205193
10,2012,W10,0.491962394
10,2012,W2,0.339882903
10,2012,W3,0.3943838
10,2012,W4,0.328280817
10,2012,W5,0.39046434
10,2012,W6,0.415530823
10,2012,W7,0.245804466
10,2012,W8,0.272144154
10,2012,W9,0.222482448
10,2013,W1,0.407932448
10,2013,W10,0.475043625
10,2013,W2,0.316259063
10,2013,W3,0.479908312
10,2013,W4,0.44061291
10,2013,W5,0.485505493
10,2013,W6,0.473378318
10,2013,W7,0.389368136
10,2013,W8,0.370731471
10,2013,W9,0.349357112
11,2012,W1,0.230568734
11,2012,W10,0.450474461
11,2012,W2,0.301880937
11,2012,W3,0.358263956
11,2012,W4,0.283906626
11,2012,W5,0.356420612
11,2012,W6,0.374556344
11,2012,W7,0.245035336
11,2012,W8,0.249880329
11,2012,W9,0.218765431
11,2013,W1,0.264338867
11,2013,W10,0.534372618
11,2013,W2,0.319424894
11,2013,W3,0.478469044
11,2013,W4,0.269034705
11,2013,W5,0.377555427
11,2013,W6,0.382130101
11,2013,W7,0.272874555
11,2013,W8,0.272625743
11,2013,W9,0.328437
12,2012,W1,0.27669437
12,2012,W10,0.475646326
12,2012,W2,0.293024654
12,2012,W3,0.436774941
12,2012,W4,0.338883299
12,2012,W5,0.424750628
12,2012,W6,0.420161868
12,2012,W7,0.262092417
12,2012,W8,0.251979169
12,2012,W9,0.287419983
12,2013,W1,0.817592308
12,2013,W10,0.008617406
12,2013,W2,0.452811833
12,2013,W3,0.555290042
12,2013,W4,0.085381222
12,2013,W5,0.152735344
12,2013,W6,0.203259238
12,2013,W7,0.823694046
12,2013,W8,0.815792698
12,2013,W9,0.654348107
